iter	RMSE
0	0.0731519423
1	0.06773809654
2	0.06411416402
3	0.06018667198
4	0.05717914211
5	0.05437390888
6	0.05190349345
7	0.05019738894
8	0.04823383888
9	0.04686418642
10	0.04581971432
11	0.04506570831
12	0.04386727883
13	0.04272872701
14	0.04198173393
15	0.04096378135
16	0.04037669372
17	0.03943197384
18	0.03877578201
19	0.03843818726
20	0.03784471249
21	0.03750575188
22	0.03707898502
23	0.03649735217
24	0.03600766781
25	0.03564421598
26	0.03517074188
27	0.03495039394
28	0.03467418131
29	0.03441109192
30	0.03429253002
31	0.03413620435
32	0.03395381496
33	0.03378517498
34	0.03338738504
35	0.03317520569
36	0.03297666265
37	0.03269084903
38	0.03232286853
39	0.03217965169
40	0.03207470546
41	0.0319090926
42	0.03169358453
43	0.03156825891
44	0.03135905165
45	0.03117632561
46	0.03093085102
47	0.0308511643
48	0.03067397843
49	0.03056928654
50	0.03048000745
51	0.03043394082
52	0.03014495102
53	0.03009082978
54	0.03004762397
55	0.02991384425
56	0.02984236193
57	0.02969883251
58	0.02941455844
59	0.02928489257
60	0.02917549044
61	0.02904961269
62	0.02886758307
63	0.02854747899
64	0.0282874602
65	0.02819093416
66	0.02804440829
67	0.0279796347
68	0.02787274847
69	0.0278554945
70	0.0277708051
71	0.02759462217
72	0.02732347342
73	0.02727323351
74	0.02721802025
75	0.02692354452
76	0.02685517206
77	0.02656692444
78	0.02639744097
79	0.02615823347
80	0.02614666393
81	0.02608538197
82	0.02592888628
83	0.02589599985
84	0.02578648479
85	0.02570282462
86	0.02554812394
87	0.02541835787
88	0.02536181408
89	0.02526348058
90	0.02524051563
91	0.02512655763
92	0.02505456102
93	0.02494566158
94	0.02493420746
95	0.02492666834
96	0.02473257467
97	0.02447911997
98	0.02439651017
99	0.02424664817
100	0.02420651563
101	0.02408880831
102	0.02401052868
103	0.02399345425
104	0.02390267006
105	0.02380587088
106	0.02376829229
107	0.02359856342
108	0.02352674014
109	0.02349402311
110	0.0234598387
111	0.02335049209
112	0.02318748641
113	0.02312391921
114	0.02309333142
115	0.02308793152
116	0.02291909825
117	0.0228429522
118	0.02282962277
119	0.02279232982
120	0.02265033094
121	0.02264490819
122	0.02252893435
123	0.02246724501
124	0.02232580655
125	0.02229539188
126	0.02227955642
127	0.02214530931
128	0.02210726309
129	0.02204163539
130	0.0219953405
131	0.02196333025
132	0.02188023545
133	0.02182224554
134	0.02176273556
135	0.02168825491
136	0.02160536469
137	0.02154168124
138	0.02150293793
139	0.02143902773
140	0.02134004827
141	0.02131954933
142	0.02130147966
143	0.02119883581
144	0.02112760187
145	0.02103999971
146	0.02095865056
147	0.02095561936
148	0.02090899977
149	0.02086237079
150	0.02082687156
151	0.02082421804
152	0.02078974896
153	0.02073622375
154	0.02069349954
155	0.02062464566
156	0.02060172483
157	0.02056446071
158	0.02054145076
159	0.02047957325
160	0.02042374424
161	0.02039890317
162	0.02033944866
163	0.0203278445
164	0.02031594457
165	0.02028957596
166	0.02024058053
167	0.02018298852
168	0.02011817068
169	0.02009628305
170	0.01999771632
171	0.01993114391
172	0.0199091555
173	0.01986569939
174	0.0198008905
175	0.01978165416
176	0.01974812674
177	0.01973186819
178	0.01967658034
179	0.01960233476
180	0.01958781222
181	0.01952169574
182	0.01946529441
183	0.01941611573
184	0.01936231453
185	0.01931522204
186	0.01928309196
187	0.01921866373
188	0.01920367398
189	0.01914546964
190	0.0191277466
191	0.01908478246
192	0.01906304251
193	0.01903089485
194	0.01901042883
195	0.01898923342
196	0.01896399091
197	0.01892812274
198	0.01892660737
199	0.01887393444
