model,rmse_score,r2_score
dummy,0.09347145163825248,-0.002868408462803007
Linreg,0.06238618998651363,0.5532517060016664
XGboost,0.05900437553322,0.6003733773978741
Random_Forest,0.058277329749232075,0.6101610178726262
dt,0.06461199652015336,0.5208049780003272
lightgbm,0.05119742550513437,0.6991276893695864
cat,0.05362579911589207,0.6699091167465283
Keras,0.02590379496866547,-1.794097044626203
